"garden_yr","garden_yr_richness","garden_yr_diversity","garden_yr_total_cover","garden_yr_wild_richness","garden_yr_wild_diversity","garden_yr_wild_total_cover","garden_yr_cult_richness","garden_yr_cult_diversity","garden_yr_cult_total_cover","garden","city","impervious_1000","year","round","garden_yr_beta","garden_yr_beta_wild","garden_yr_beta_cult"
"OPI_2023",5.11764705882353,3.57863741176471,30.2941176470588,3.52941176470588,2.70597326728338,16.5294117647059,1.29411764705882,1.18033273517033,12.8823529411765,"OPI","Munich",44.43,2023,1,0.929623475765,0.910133802507772,0.936389517654516
"PAS_2021",7.48387096774194,4.68514414124584,29.0322580645161,7.09677419354839,4.63170540462684,24.2258064516129,0.387096774193548,0.283258196403292,4.80645161290323,"PAS","Munich",79.47,2021,1,0.916349529960206,0.893698040377556,0.827137487278035
"PAS_2022",3.03571428571429,2.76129864285714,5.78571428571429,2.89285714285714,2.65447178871549,3.82142857142857,0.142857142857143,0.106826801517067,1.96428571428571,"PAS","Munich",79.47,2022,1,0.88332542577033,0.866015934833347,0.70710678118655
"PAS_2023",4.17391304347826,2.83900465217391,15.4782608695652,3.78260869565217,2.62170229797214,13.5217391304348,0.260869565217391,0.205744618038471,1.52173913043478,"PAS","Munich",79.47,2023,1,0.921390427691776,0.899434375658047,0.816496580990027
"PGK_2020",7.25,3.37497742493213,38.4583333333333,6.25,4.06978010120071,25.0833333333333,1,0.591598925319152,13.5416666666667,"PGK","Berlin",20.88,2020,1,0.866468466440558,0.789000953337817,0.917086645918663
"PGK_2021",6.09375,3.59672120504694,42.90625,4.75,3.15890856280019,25.4375,1.34375,1.03686420557288,17.625,"PGK","Berlin",20.88,2021,1,0.833356893602369,0.620838850518877,0.959321444043725
"PGK_2022",4.96875,3.0544525625,26.09375,3.78125,2.76123170392877,16.625,1.03125,0.794957824065102,9,"PGK","Berlin",20.88,2022,1,0.919346758565234,0.876490515408336,0.965028935598486
"PGK_2023",5.34782608695652,2.98795191304348,37.2173913043478,4.56521739130435,2.76684703466883,26.1739130434783,0.652173913043478,0.529435079936429,10.0869565217391,"PGK","Berlin",20.88,2023,1,0.870627801760243,0.803405347501862,0.925820099778125
"POL_2020",5.95652173913043,3.71768201649982,32.2173913043478,3.73913043478261,2.64713228227451,16.6521739130435,2.21739130434783,1.75851924760344,15.5652173913043,"POL","Berlin",38.61,2020,1,0.953107098874341,0.908207611773584,0.956402361113375
"POL_2021",6.32258064516129,3.7188845165215,49.8387096774194,3.51612903225806,2.54621471291119,18.5806451612903,2.41935483870968,1.70053579505967,30.3870967741935,"POL","Berlin",38.61,2021,1,0.939753034846825,0.890169958834275,0.966688200546656
